oare_id,source,retrieval_neighbor_ids,retrieval_scores,retrieval_mode
004a7dbd-57ce-46f8-9691-409be61c676e__c1of2,"translate Akkadian to English: KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a 0.3333 ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim

Retrieved source: KIŠIB ma-num DUMU kà-bi-a KIŠIB a-šur-DU₁₀ DUMU šu-IŠTAR KIŠIB a-ḫu-šu DUMU a-šur-i-dí KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur 5 ma-na KÙ.BABBAR li-tám dam-qám…
Retrieved English hint: Seal of Manum, son of Kabiya, seal of Aššur-ṭāb, son of Šu-Ištar, seal of Ahušu, son of Aššur-idī, seal of Šu-Ellil, son of Mannu-kī-Aššur 5 minas of good quality ilver Šu-Elil, son of Mannu-kī-Aššur, owes to Išme-Aššur…",7446a8ba-6379-4450-91de-581a7fe38565__c1of4,0.5107,train_to_train
004a7dbd-57ce-46f8-9691-409be61c676e__c2of2,"i-ša-qal šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb

Retrieved source: i-ša-qal šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb
Retrieved English hint: If he has not paid in time, he will add interest at the rate 1 5 shekel per mina per month",004a7dbd-57ce-46f8-9691-409be61c676e__c2of2__gc1of1,1.0000,train_to_train
0064939c-59b9-4448-a63d-34612af0a1b5,"translate Akkadian to English: 1 TÚG ša qá-tim i-tur₄-DINGIR il₅-qé

Retrieved source: 1 TÚG ša qá-tim i-tur₄-DINGIR il₅-qé
Retrieved English hint: Itūr-ilī has received one textile of ordinary quality.",0064939c-59b9-4448-a63d-34612af0a1b5__gc1of1,1.0000,train_to_train
0073f2c0-524c-4bbf-915a-8c1772a4fb98,"translate Akkadian to English: TÚG u-la i-dí-na-ku-um i-tù-ra-ma 9 GÍN KÙ.BABBAR

Retrieved source: TÚG u-la i-dí-na-ku-um i-tù-ra-ma 9 GÍN KÙ.BABBAR
Retrieved English hint: <gap> he did not give you a textile. He returned and 9 shekels of silver <gap>",0073f2c0-524c-4bbf-915a-8c1772a4fb98__gc1of1,1.0000,train_to_train
009fb838-8038-42bc-ad34-5f795b3840ee,"translate Akkadian to English: KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il₅-qé

Retrieved source: i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in um-ma šu-ut-ma i-na ṣí-ba-at KÙ.BABBAR-pí-a li-il₅-qé IGI šu-{d}EN.LÍL IGI ṣí…
Retrieved English hint: When Iddin-abum spoke his will he gave 10 minas of silver to Šalim-Aššur. He said: He may take it out of the interest on my silver."" Witnessed by Šu-Illil, by Ṣilūlu.""",d290a525-1284-44b3-b12f-e222484dcc44,0.7700,train_to_train
00aa1c55-c80c-4346-a159-73ad43ab0ff7__c1of2,"translate Akkadian to English: um-ma šu-ku-tum-ma a-na IŠTAR-lá-ma-sí ù ni-ta-aḫ-šu-šar qí-bi₄-ma mì-šu ša ta-áš-pu-ra-ni-ni um-ma a-tí-na-ma É-tum a-na lá be-tim i-tù-ar a-pu-tum a-na en-um-a-šùr i-<gap>-ni-ma e ší-na ga <gap> ša lá ta-ḫa-dì-ri a-na IŠTAR-lá-ma-sí qí-bi₄-ma šu-ma a-ḫa-tí a-ta li-ba-am dì-ni-ší-im lá ta-ḫa-da-ar a-na

Retrieved source: um-ma šu-ku-tum-ma a-na uš-ta-aḫ-šu-šar qí-bi₄-ma šu-ma am-tí a-tí ša ma-ma-an lá ta-ša-me-i ù li-bi₄-ki
Retrieved English hint: From Šukkutum to Uštahšušar: If you are truly my maid, then do not listen to anyone else and do not become angry <gap>",b188d606-952b-4ebc-9863-086873ef3f0e__gc1of1,0.3468,train_to_train
00aa1c55-c80c-4346-a159-73ad43ab0ff7__c2of2,"ni-ta-aḫ-šu-šar qí-bi₄-ma TÚG-pì-ri-kà-ni ša e-zi-bu na-pí-ší-šu-nu ù ṭup-pu-ú lu ša-ṣú-ru pì-ri-kà-nu ša ma-tí ù tí-bu-lá ma-a-<gap> iš-ta-ú-mu-ni a-dí en-um-a-šùr i-lá-kà-ni a ma-ma-an lá tù-šé-ri <gap> GÍN KÙ.BABBAR {d}UTU-tap-pá-i ub-lá-ki-im 1 GÍN KÙ.GI ù <gap> GÍN KÙ.BABBAR i-ku-pì-a ub-lá-ki-im

Retrieved source: ší-im pì-ri-kà-ni ša ḫa-nu pì-ri-kà-ni ša-ma-ma ú AN.NA-ki iš-tí pá-ni-im-ma šé-bi₄-lam 2 TÚG.ḪI.A šé-bi₄-lá-ma ù-ša-ri-iṭ-ma 1 GÍN KÙ.BABBAR <gap> ḫu-ur-ší-a-…
Retrieved English hint: Send me 2 textiles, for I tore (mine), and 1 shekel of silver <gap> the -container and the tablet-box <gap> they they entrusted to you <gap> as long as you do not see my eyes """,14a98a66-9b69-4183-8876-ff6e411f74bf__c5of5__gc1of1,0.2711,train_to_train
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c1of8,"translate Akkadian to English: um-ma šu-ta-mu-zi e-lá-a en-um-a-šùr ù lá-ma-sí-ma a-na en-um-a-šùr ù a-lá-ḫi-im

Retrieved source: KIŠIB šu-ta-mu-zi e-la-a en-um-a-šùr DUMU e-la-ma ù lá-ma-sí a-na en-um-a-šùr
Retrieved English hint: Sealed by Šu-Tammuzī, Elaya, Ennam-Aššur son of Elamma and Lamassī; to Ennam-Aššur.",f831416a-1287-4d5e-8808-a893e304f2b4__gc1of1,0.6840,val_to_train
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c2of8,"qí-bi₄-ma a-ma-la na-áš-pé-er-tí-ku-nu ra-bi-ṣa-am ni-ḫu-za-ku-nu-tí a-bi-a DUMU be-e-be ra-bi₄-iṣ-ni i-na ša-am-ší ša ra-bi-ṣú-um e-ra-ba-ni iḫ-da-ma

Retrieved source: um-ma a-ta-ta šu-a-nu-um da-na-a ù la-ma-sí-ma a-na a-lá-ḫi-im qí-bi-ma a-na ma-la tí-ir-tí-kà ṭup-pá-am ša a-lim{ki} ni-il₅-qé-a-ku-um ù ra-bi-ṣa-am ni-ḫu-za-…
Retrieved English hint: From Atata, Šu-Anum, Dannaya and Lamassī to Ali-ahum: In accordance with your instructions we got a tablet of the City for you; also, we hired an attorney for you. Following the verdict of the City they must release the…",e2030a3e-9f2c-43e1-926b-8975c8b8ac50__c1of4,0.3354,val_to_train
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c3of8,"i-zi-za-ma lu DAM.GÀR a-bi-ku-nu lu ša a-wa-tám tí-šu-a-ni ra-bi-ṣú-um i-na ša-ḫa-tí-ku-nu li-zi-iz-ma i-na KÙ.BABBAR pá-ni-ma

Retrieved source: i ša-ḫa-tí-ku-nu li-zi-iz-ma ki-ma 13 ma-na.TA a-na um-me-a-ni-šu i-dí-nu ù šu-ut 13 ma-na.TA a-na li-mì-im li-dí-in
Retrieved English hint: Have the eponym assist you there and since he gave 13 minas each to his investors he should also give 13 minas each to the eponym",cd1d4a54-611c-4da9-95f6-82b998c27590__c5of5__gc1of1,0.3683,val_to_train
