oare_id,parent_oare_id,bucket,source,target,top1_neighbor_oare_id,top1_neighbor_source,top1_neighbor_target,top1_score,top3_mean_score,top1_target_chrfpp,topk_neighbor_ids,topk_scores
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c1of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,chunk7plus,um-ma šu-ta-mu-zi e-lá-a en-um-a-šùr ù lá-ma-sí-ma a-na en-um-a-šùr ù a-lá-ḫi-im,"From Šu-Tammuzī, Elaya, Ennam-Aššur and Lamassī to Ennam-Aššur and Ali-ahum: In accordance with your missive we have hired a attorney for you Abiya son of Bebe is our attorney Take care to stand by the very day the attorney arrives, and have the attorney assist you",f831416a-1287-4d5e-8808-a893e304f2b4,KIŠIB šu-ta-mu-zi e-la-a en-um-a-šùr DUMU e-la-ma ù lá-ma-sí a-na en-um-a-šùr,"Sealed by Šu-Tammuzī, Elaya, Ennam-Aššur son of Elamma and Lamassī; to Ennam-Aššur.",0.6689737013433026,0.6559492188047298,25.002385690838114,f831416a-1287-4d5e-8808-a893e304f2b4|f831416a-1287-4d5e-8808-a893e304f2b4__gc1of1|a5de48e0-ba80-46bf-a668-e0ab9d43f516__c1of7,0.6690|0.6690|0.6299
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c2of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,chunk7plus,qí-bi₄-ma a-ma-la na-áš-pé-er-tí-ku-nu ra-bi-ṣa-am ni-ḫu-za-ku-nu-tí a-bi-a DUMU be-e-be ra-bi₄-iṣ-ni i-na ša-am-ší ša ra-bi-ṣú-um e-ra-ba-ni iḫ-da-ma,"both with regard to the customers of your father and those with whom you have an argument, and of the first silver, wherever you receive it, collect the silver of the City Hall, as much as your father owes, seal the silver and send it",e2030a3e-9f2c-43e1-926b-8975c8b8ac50__c1of4,um-ma a-ta-ta šu-a-nu-um da-na-a ù la-ma-sí-ma a-na a-lá-ḫi-im qí-bi-ma a-na ma-la tí-ir-tí-kà ṭup-pá-am ša a-lim{ki} ni-il₅-qé-a-ku-um ù ra-bi-ṣa-am ni-ḫu-za-ku-um i-na dí-in a-lim{ki} ṭup-pá-am ša,"From Atata, Šu-Anum, Dannaya and Lamassī to Ali-ahum: In accordance with your instructions we got a tablet of the City for you; also, we hired an attorney for you. Following the verdict of the City they must release the tablet that was entrusted to Iliya son of Elāli to the attorney, and the silver from",0.3403789567160456,0.29374723652388646,29.59465707319058,e2030a3e-9f2c-43e1-926b-8975c8b8ac50__c1of4|0819f9cd-c0a0-4be4-9307-040881cbb5db|ea0a5204-461e-4024-abdf-6a7508b9db57__c1of8,0.3404|0.2713|0.2695
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c3of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,chunk7plus,i-zi-za-ma lu DAM.GÀR a-bi-ku-nu lu ša a-wa-tám tí-šu-a-ni ra-bi-ṣú-um i-na ša-ḫa-tí-ku-nu li-zi-iz-ma i-na KÙ.BABBAR pá-ni-ma,"the attorney should seal it together with you, and then send the silver so we can satisfy the eponym The compound interest should not grow too big for you and make you unhappy Act so as to save your father's house If you observe",cd1d4a54-611c-4da9-95f6-82b998c27590__c5of5__gc1of1,i ša-ḫa-tí-ku-nu li-zi-iz-ma ki-ma 13 ma-na.TA a-na um-me-a-ni-šu i-dí-nu ù šu-ut 13 ma-na.TA a-na li-mì-im li-dí-in,Have the eponym assist you there and since he gave 13 minas each to his investors he should also give 13 minas each to the eponym,0.3820545867609876,0.36935186230956923,17.18150913988755,cd1d4a54-611c-4da9-95f6-82b998c27590__c5of5__gc1of1|cd1d4a54-611c-4da9-95f6-82b998c27590__c5of5|0db91c91-7c07-4b21-962a-a6cde6af9a20__c5of5,0.3821|0.3821|0.3439
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c4of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,chunk7plus,a-šar ta-ma-ḫa-ra-ni KÙ.BABBAR ša É a-lim{ki} šu-ta-aṣ-bi-ta-ma ma-lá a-bu-ku-nu ḫa-bu-lu KÙ.BABBAR ku-un-kà-ma šé-bi-lá-nim ra-bi₄-ṣú-um iš-tí-ku-nu,"that there are certified deeds and credits outstanding on long terms, then seal the tablets, entrust them to a trustworthy affiliated trader, like yourselves, and do not extend your terms without special reasons, do not delay but set out and come together with the attorney",3f083cf5-4920-4c6e-85b4-7539e35d2eea__c2of3,ta-ur a-pu-tum a-ma-kam i-ḫi-id-ma ra-ma-kà za-ki-a-ma tí-ib-a-ma a-tal-kam a-na-kam KÙ.BABBAR ša É a-lim{ki} ṣí-ib-tum im-tí-da-ku-nu-tí ù šu-ma a-ta sà-aḫ-ra-tí KÙ.BABBAR ša É a-lim{ki} šu-ta-aṣ-bi₄-ta-ma ku-un-kà-ma a-na ra-bi₄-ṣí-im dí-ma lu-ub-lam-ma li-ma-am lu nu-ṭá-ib a-na a-lá-ḫi-im qí-bi-ma,"Urgent, take care there, clear yourself, set out and come Here interest on the silver due to the City Hall has increased for you, so if you are delayed, then have the silver of the City Hall procured, seal it and give it to the attorney that he may bring it so we can satisfy the eponym",0.35485583257649417,0.315696758775931,30.835693885242037,3f083cf5-4920-4c6e-85b4-7539e35d2eea__c2of3|cbfb79f1-b5c9-4f85-99e0-eb44dca75171__c3of8|297ed294-0d9d-4095-a99d-141e86a982b6__c2of2,0.3549|0.2963|0.2960
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c5of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,chunk7plus,li-ik-nu-uk-ma KÙ.BABBAR šé-bi-lá-nim-ma li-ma-am lu nu-ša-bi ṣí-ba-at ṣí-ib-tim lá i-ma-i-da-ku-nu-tí-ma li-ba-ku-nu e im-ra-aṣ ma-lá e-ṭá-ar É a-bi₄-ku-nu ep-ša šu-ma ta-da-ga-lá-ma ṭup-pu ḫa-ru-mu-tum,"Here we seized (witnesses) against Šu-Kūbum and said: Did Šalim-Aššur give you 5 minas of silver out of those in your tablet "" He refused to confirm to us the silver, what you will declare there 0 6666 mina of silver: hire for the attorney he received 0 3333 mina of silver here and will receive 0 3333 mina there We gave 16 3333 shekels of silver for their disposal",34243f4e-5da2-4192-b46f-2ed04453c10b__c5of5,ni-ik-nu-uk-ma a-na a-lim lu ni-lik,"Witnessed by Enna-Suen, by Šar-Adad, by Ilī-bāni """,0.2699096173661056,0.25971315794215416,3.4668131265116453,34243f4e-5da2-4192-b46f-2ed04453c10b__c5of5|34243f4e-5da2-4192-b46f-2ed04453c10b__c5of5__gc1of1|47602df2-eb2f-4155-b710-89a973e91577__c3of5,0.2699|0.2699|0.2393
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c6of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,chunk7plus,ú ba-ba-a-tum ru-qá-tum i-ba-ší-ú ṭup-pí ku-un-kà-ma a-na DUMU um-me-a-nim ke-nim ša ki-ma,"36 6666 shekels of silver, their expenses, we borrowed in a merchant-house against interest Seal silver there and send it with the first transport so we can pay back the merchant Also, send at least 1 or 2",2d9c1f96-8385-446e-8cf3-e35038aaa947__c2of2,a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb a-ḫu-ú-a be-lu-ú-a a-tù-nu a-wi-lúm a-dí ma-lá ù ší-ni-šu iṣ-li-a-ni ṣa-áb-ta-šu-ma KÙ.BABBAR ù ṣí-ba-sú ma-lá ta-le-e-a-ni ša-áš-qí-lá-šu-ma AN.NA ša-ma-nim-ma ku-un-kà-ma a-na DUMU um-me-a-nim ke-nim dí-na-ma ku-nu-ki-ku-nu lu-ub-lam,"My dear brothers and lords, the man has cheated me once or twice Seize him and have him pay the silver and as much interest as you can manage and then buy tin for me, seal it and give it to a reliable affiliated trader who can bring it to me under your seals",0.2847892112163188,0.2800071937249131,23.965686614745582,2d9c1f96-8385-446e-8cf3-e35038aaa947__c2of2|9a54939a-0d22-4c13-b9dd-d8956c094307__c2of3__gc1of1|9a54939a-0d22-4c13-b9dd-d8956c094307__c2of3,0.2848|0.2776|0.2776
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c7of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,chunk7plus,ku-nu-tí pí-iq-da-ma u₄-me-e-ku-nu ba-lu-um mì-ma-ma lá tù-ri-qá-ma lá ta-sà-ḫu-ra iš-tí ra,"minas of silver send it so we can store 40 litres of grain before you come Elaya says: If you are truly my brothers, you must seal the proceeds from the textile in silver and do me a favour",578f8ff2-4c59-4978-82ce-80eaef1acab8__c4of5,ma-lá ša-áp-tám i-za-ku-a-ni ší-bé-e šu-uk-na-šu-nu-tí ki-ma ša-áp-tum ú 7 ANŠE.ḪI.A ša en-um-a-šur ša-áp-tám kà-ni-kà-ma ku-nu-ki-ku-nu iš-tí lu-qú-tí-a-ma pí-iq-da-ma li-ir-dí-ú-nim,"is cleared, stating that the wool and 7 donkeys belong to Ennam-Aššur Seal the wool and entrust it under your seals together with my other goods so they may conduct it here",0.21420506626598682,0.20787428139279407,18.32102613335513,578f8ff2-4c59-4978-82ce-80eaef1acab8__c4of5|578f8ff2-4c59-4978-82ce-80eaef1acab8__c4of5__gc1of1|02679472-38ae-4f0b-a3cb-c3ae24e6d239__c2of3,0.2142|0.2142|0.1952
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c8of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,chunk7plus,,"""",debea9a0-f230-4fbb-9f8b-e8037dcf6662__c5of5,,"""",1.0000000000000002,1.0000000000000002,100.0,debea9a0-f230-4fbb-9f8b-e8037dcf6662__c5of5|b224ed8a-2e0b-4212-b49f-a9cc482d9675__c4of4|c84fb0b6-45c9-4e6d-8923-51eddf50c2d7__c7of7,1.0000|1.0000|1.0000
02351a98-b66c-42eb-90a7-11d834afe8e8__c1of6,02351a98-b66c-42eb-90a7-11d834afe8e8,chunk4_6,a-na ša-lim-a-šùr qí-bi-ma um-ma i-dí-a-bu-um i-tur₄-DINGIR i-na-aḫ-DINGIR en-um-a-šùr ù a-la-ḫu-um-ma ta-áš-pu-ra-am um-ma a-ta-ma,"To Šalim-Aššur from Iddin-abum, Itūr-ilī, Inah-ilī, Ennam-Aššur and Ali-ahum: You have written us, saying: x, further, 92 Abarnian textiles, <gap>"" <gap> -Aššur <gap> of credit <gap> -textiles that you wrote <gap> you",6dd5d5df-6110-44a2-93b8-1969fd236025__c1of5,um-ma ša-lim-a-šùr-ma a-na i-dí-a-bi-im i-tur₄-DINGIR en-na-nim e-na-aḫ-DINGIR ù en-um-a-šùr-ma a-dí ša ta-áš-pu-ra-ni-ni um-ma a-tù-nu-ma a-na kà-ri-im er-ba-ma bé-et-kà a-šu-ur-ma,"From Šalim-Aššur to Iddin-abum, Itūr-ilī, Ennānum, Enah-ilī and Ennam-Aššur: As to what you wrote to me about, saying: Enter the colony and bring your house in order, and then, clear the affairs with your sons and do not hang your head all the time."" Since my servants have acted high-handedly until this day and have not travelled to Damiq-pī-Aššur, and have",0.5646724012589346,0.5542571605853296,35.52233219285562,6dd5d5df-6110-44a2-93b8-1969fd236025__c1of5|5a00715b-aad3-4c39-a0ae-0e5d919001ef__c1of7|5a00715b-aad3-4c39-a0ae-0e5d919001ef__c1of7__gc1of1,0.5647|0.5490|0.5490
02351a98-b66c-42eb-90a7-11d834afe8e8__c2of6,02351a98-b66c-42eb-90a7-11d834afe8e8,chunk4_6,<gap> ku-ta-nu a-ḫa-ma 92 TÚG a-ba-ar-ni-ú <gap>-a-šùr qí-ip-tim <gap> ku-ta-ni <gap> bu-ra-e <gap> ta-áš-pu-ra-ni <gap> ku <gap>-at-ma,"must <gap> there; <gap> total of your textiles: <gap> hundred textiles; thereof 4 robes, 2 -textiles you will receive for 27.8333 minas 2 shekels of tin <gap> 100 <gap> textiles <gap>",b6751766-7f8c-4cc6-89a1-64a1198cf4ca__c3of4,KÙ.BABBAR <gap> ma-la a-aḫ-šu lá i-<gap> u₄-mu lá i-ma-i-du <gap> lá i-ta-ba-al <gap> KÙ.BABBAR 1 GÚ 3 ma-na <gap> KÙ.BABBAR-áp qí-ip-tim <gap> wa-at-ra-<gap> lu-ub-lu <gap> ù,against Kurub-Ištar,0.25187660186791005,0.24480481612834373,1.988121516848574,b6751766-7f8c-4cc6-89a1-64a1198cf4ca__c3of4|aab94c52-0cbf-48de-bf0f-fb19106958d1__c1of3|89b3ddad-7210-442d-b4e5-192b36f840d5,0.2519|0.2420|0.2405
