oare_id,parent_oare_id,chunk_index,chunk_total,chunk_mode
extpub__a164aa20-7647-feda-6da8-0522c4b61a29,extpub__a164aa20-7647-feda-6da8-0522c4b61a29,0,1,none
extpub__11ac1920-cbf9-43eb-b579-e11523751a19,extpub__11ac1920-cbf9-43eb-b579-e11523751a19,0,1,none
extpub__7c8dfa44-81d5-0e4f-efab-84291f28e455__c1of2,extpub__7c8dfa44-81d5-0e4f-efab-84291f28e455,0,2,ratio
extpub__7c8dfa44-81d5-0e4f-efab-84291f28e455__c2of2,extpub__7c8dfa44-81d5-0e4f-efab-84291f28e455,1,2,ratio
extpub__24d52193-1178-4daf-874c-56d988c19496,extpub__24d52193-1178-4daf-874c-56d988c19496,0,1,none
extpub__111cd2be-5224-2bd7-159b-ed4c842d0c9c,extpub__111cd2be-5224-2bd7-159b-ed4c842d0c9c,0,1,none
extpub__56888e35-0a49-8294-22de-aaa879c4b9a6,extpub__56888e35-0a49-8294-22de-aaa879c4b9a6,0,1,none
extpub__c3fbd189-aa84-4973-9358-bf0972766c21,extpub__c3fbd189-aa84-4973-9358-bf0972766c21,0,1,none
extpub__5639bdce-3649-1d65-c0bb-22d703f51ee1,extpub__5639bdce-3649-1d65-c0bb-22d703f51ee1,0,1,none
extpub__d14f18b9-a0a0-438b-65eb-34207b685562,extpub__d14f18b9-a0a0-438b-65eb-34207b685562,0,1,none
extpub__0f42f658-3eba-bc75-a1ad-414af3e4af65,extpub__0f42f658-3eba-bc75-a1ad-414af3e4af65,0,1,none
extpub__90c8707d-f502-d8e7-ef45-9a94e3666552,extpub__90c8707d-f502-d8e7-ef45-9a94e3666552,0,1,none
extpub__9886ba0d-9b82-4d08-aaef-a00d071cde8e,extpub__9886ba0d-9b82-4d08-aaef-a00d071cde8e,0,1,none
extpub__b05376c2-fc3d-49f8-9792-a25c0df9c383,extpub__b05376c2-fc3d-49f8-9792-a25c0df9c383,0,1,none
extpub__679827c7-bb12-2189-07c2-9854f3d221c7,extpub__679827c7-bb12-2189-07c2-9854f3d221c7,0,1,none
extpub__2f673bf0-dd13-4a4a-8641-a8a980ce80e0,extpub__2f673bf0-dd13-4a4a-8641-a8a980ce80e0,0,1,none
extpub__6fcf9a5c-d31f-4594-9172-8fc44228d98e,extpub__6fcf9a5c-d31f-4594-9172-8fc44228d98e,0,1,none
