source,target,source_origin,license_note,row_origin,oare_id,sentence_uuid,genre_label,label,anchor_token,anchor_type,source_token_len,target_word_len,builder
0.33333 GÍN 15 ŠE KÙ.BABBAR a-šur-pí-lá-aḫ 22.5 ŠE KÙ.BABBAR dan-a-šur 15 ŠE KÙ.BABBAR a-šur-i-mì-tí 0.25 GÍN 10 ŠE KÙ.BABBAR i-dí-sú-en6 27.5 ŠE KÙ.BABBAR šál-ma-ḫu-um 7.5 ŠE KÙ.BABBAR a-šur-ke-en6-ra-am 1 GÍN KÙ.BABBAR a-šur-SIG5 ú {d}UTU-ba-ni,"1/3 shekel 15 grains silver (for) Aššur-pilaḫ.
22 1/2 grains silver (for) Dān-Aššur.
15 grains silver (for) Aššur-imittī.
1/4 shekel 10 grains silver (for) Idī-Suen.
27 1/2 grains silver (for) Šalim-aḫum.
7 1/2 grains silver Aššur-kēn-ram(?)
1 shekels silver (for) Aššur-damiq and Šamaš-bāni.",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,a164aa20-7647-feda-6da8-0522c4b61a29,,note,Cuneiform Tablet Kt v/k 196 (AKT 3 29),,,34,43,taskform_winner_a1_silver_builder
0.33333 ma-na 1.5 GÍN KÙ.BABBAR li-tí SIG5-tim i-ṣé-er ta-ak-ša-nu-ma-an ḫa-pu-wa-šu ù ma-na-ma-na a-ší-tí-šu i-na-a i-šu iš-tù ḫa-mu-uš-tim ša i-na-sú-en6 ù ì-lí-a-lim a-na 4 ḫa-am-ša-tim i-ša-qú-lu-ú šu-ma lá iš-qú-lu-ú 1 GÍN KÙ.BABBAR i-na ITU.KAM a-na KÙ.BABBAR a-nim ṣí-ib-tám ú-ṣú-bu-ú ITU.KAM té-i-na-tim li-mu-um kà-pá-dí-a KÙ.BABBAR i-na qá-qá-ad ke-ni-šu-nu ú ba-al-ṭí-šu-nu ra-ki-is IGI iš-me-li-im IGI ar-ḫa-nu-ma-an,"Takāanuman, Ḫappu-ašu and his wife Manamana owe Innāya 21.5 shekels fine liti silver.
They will pay four weeks from the ḫamuštum of Enna-Suen and Ili-ālim.
If they do not pay, they will add 1 shekel silver per month for this silver as interest.
Month: Teʾinātim.
Eponymate: Kapādīya.
The silver is bound to whomever is legally responsible and solvent.
Witnesses: iš-me-li-im, Arḫanuman.",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,11ac1920-cbf9-43eb-b579-e11523751a19,,debt note,Cuneiform Tablet ICK 2 43 (Ka 389),,,53,61,taskform_winner_a1_silver_builder
0.33333 ma-na 2 GÍN KÙ.BABBAR ší-im 4 {TÚG}ku-ta-ni i li-bi4 a-šùr-ta-ak-lá-ku DUMU qá-a-tim iš-tù ša a-mur-{d}UTU ša-bu-ú 0.33333 ma-na 2 GÍN ší-im 4 {TÚG}ku-ta-ni i li-bi <gap>-ta-a 7 {TÚG}ku-ta-nu <gap> ma-na <gap> GÍN 4 TÚG šu-ru-tum <gap>-0.5 ma-na <gap> ma-na 2 GÍN <gap> ku bi <gap> ša ša-lim-a-ḫi-im <gap> i-na 16 {TÚG}ku-ta-ni ù 7 TÚG šu-ru-tim ša a-šùr-i-mì-tí ša É i-ku-nim ú-šé-ṣí-a-ni ŠÀ.BA 7 ku-ta-ni ù 4 TÚG šu-ru-tim qá-sú a-dí-ma ší-tí TÚG.ḪI-tí-šu 11 ku-ta-nu ù 3 šu-ru-tum i li-bi4-a 7 {TÚG}ku-ta-nu <gap>-IŠTAR ú-šé-ṣí-a-ma qá-sú a-dí-i <gap> TÚG šu-ru-tí-šu <gap>-tí-šu a-dí-ma 1 TÚG <gap> i li-bi4-a <gap> 1 ku-ta-<gap>-tum-0.33333 ma-na <gap>-0.5 ma-na <gap> a-šur-i-mì-tí,"22 shekels silver, the price of 4 kutānum textiles owed by Aššur-taklāku s. Qayyātum, from the property of Amur-Šamaš was satisfied.
22 shekels silver the frice of kutānum textiles Owed by x-x-ta-a, 7 kutānum textiles x minas x shekels black textiles ... x+1/2 minas, x minas, 2 shekels ... belonging to Šalim-aḫum ... from the 16 kutānum textiles and the 7 black textiles of Aššur-imittī which he/I sent to the house of Ikūnum, from that 7 kutānum textiles and 4 black textiles, I gave his share and the remainder of the textiles, 11 kutānum textiles and 3 black textiles thereof, 7 kutānum textiles ... xx-Ištar sent here and I gave his share.
x black textiles .. (to his share?) I gave and 1 textiles which I own ... kutānum textiles and ... 1/3 minas, x+1/2 minas ... Aššur-imittī.",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,7c8dfa44-81d5-0e4f-efab-84291f28e455,,note,Cuneiform Tablet BIN 6 191 (NBC 3732),,,104,138,taskform_winner_a1_silver_builder
0.33333 ma-na 2.5 GÍN KÙ.BABBAR i-ṣé-er ḫa-pì-a ša kà-lá-tù-a PUZUR4-a-šur i-šu iš-tù ḫa-mu-uš-tim ša bu-zu-ta-a ú PUZUR4.SA.TU a-na ṣí-bi4-it ni-ga-lim i-ša-qal šu-ma lá ìš-qúl 1.5 GÍN.TA i ITU.KAM ú-ṣa-áb IGI ki-ta-ar IGI lu-ùḫ-ra-aḫ-šu ra-dí-ú ša ḫa-ra-áš-tal,"Ḫabīya the Kalatua owes 1/3 minas 2 1/2 shekels silver to Puzur-Aššur.
From the ḫamuštum of Buzutaya and Puzur-saduʾe he has until the harvest to pay.
If he does not pay 1 1/2 shekels per month will be added.
Witnesses: Kidar, and Luḫraḫšu the driver of ḫa-ra-áš-tal",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,24d52193-1178-4daf-874c-56d988c19496,,unknown,Cuneiform Tablet Kt a/k 810b (AKT 1 39 tab),,,36,47,taskform_winner_a1_silver_builder
0.33333 ma-na 2.5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er i-dí-{d}UTU DAM.GÀR-ru-um i-šu iš-tù ḫa-mu-uš-tim ša i-na-a ú a-šur-ma-lik a-na 0.33333 ma-na 2.5 GÍN 1.25 GÍN.TA ṣí-ib-tám i-na ITU.KAM ú-ṣa-áb ITU.KAM áb-ša-ra-ni li-mu-um {d}IŠKUR-ba-ni IGI PUZUR4-a-šur IGI a-bi-a-a,"Idī-Šamaš owes the merchant 22 1/2 shekels refined silver.
He will add 1 1/4 shekels per month interest to the 22 1/2 shekels from the ḫamuštum of Innāya and Aššur-mālik.
Witnesses: Puzur-Aššur, Abīya",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,111cd2be-5224-2bd7-159b-ed4c842d0c9c,,debt note,Cuneiform Tablet TMH 1 10a,,,35,33,taskform_winner_a1_silver_builder
0.33333 ma-na 3 GÍN KÙ.BABBAR i-ṣé-er {d}IŠKUR-ba-ni šu-IŠTAR ù a-bi-a i-šu-ú iš-tù ḫa-mu-uš-tim ša a-šur-ma-lik 2.33333 GÍN.TA i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb IGI a-šùr-DUG IGI zu-pá,"Adad-bāni owes Šū-Ištar and Abīya 23 shekels silver.
He will add 2 1/3 shekels per month as interest.",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,56888e35-0a49-8294-22de-aaa879c4b9a6,,debt note,Cuneiform Tablet TMH 1 8a,,,25,18,taskform_winner_a1_silver_builder
0.33333 ma-na 3 GÍN KÙ.BABBAR li-tí SIG5 i-ṣé-er ṣí-li-{d}IŠKUR DUMU na-áp-li-is šu-ku-bu-um i-šu iš-tù ḫa-mu-uš-tim ša šu-nu-nu ú PUZUR4-a-šur a-na ITU.KAM i-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám i-na ITU.KAM-im ú-ṣa-áb ITU.KAM té-i-na-tim li-mu-um a-lá-ḫu-um DUMU i-na-aḫ-i-lim IGI ar-ší-aḫ IGI PUZUR4-ì-lí DUMU i-ku-pí-a,"Silli-Adad s. Naplis owes Šū-Kūbum 1/3 mina 3 shekel fine quality silver.
He will pay a month from ḫamuštim of Šū-Nunu and Puzur-Aššur.
If he does not pay (on time), he will add (interest) at the rate of the colony each month.
Witnesses: Arši-aḫ, Puzur-ilī s. Ikuppiya.",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,c3fbd189-aa84-4973-9358-bf0972766c21,,unknown,Cuneiform Tablet Kt a/k 467b (AKT 1 36 tab),,,44,47,taskform_winner_a1_silver_builder
0.33333 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-gu5-za a-šùr-{d}UTU i-šu iš-tù ḫa-mu-uš-tim ša sú-kà-li-a ù na-áb-sú-en6 0.66666 GÍN 15 ŠE i ITU.1.KAM ú-ṣa-áb IGI sú-kà-li-a IGI ga-zi-a,"Aguza owes Aššur-šamšī 25 shekels refined silver.
He will add 2/3 shekel and 15 grains per month.
Witnesses: Sukkallīya, Gaziā.",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,5639bdce-3649-1d65-c0bb-22d703f51ee1,,unknown,Cuneiform Tablet TMH 1 8c,,,27,20,taskform_winner_a1_silver_builder
0.33333 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-šur-ba-ni tám-kà-ru-um i-šu iš-tù ḫa-muš-tim ša i-tur4-DINGIR ITU.KAM ša sà-ra-tim li-mu-um ša qá-tí a-šur-i-mì-tí ma-lá-ḫi-im 1.5 GÍN.TA a 1 ma-na-im i-na ur-ḫi-im ṣí-ib-tám ú-ṣa-áb IGI i-dí-ku-bi4-im IGI ku-ku-lá-nim,"Aššur-bāni owes the tamkārum 25 shekels refined silver.
He will add 1 1/2 shekels per mina per month from the ḫamuštum of Itūr-ilī, month Ša sarrātim, eponymate after the one of Aššur-imittī the malāḫum officer.",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,d14f18b9-a0a0-438b-65eb-34207b685562,,debt note,Cuneiform Tablet TMH 1 9b,,,35,35,taskform_winner_a1_silver_builder
0.33333 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-šur-ma-lik dan-a-šur i-šu iš-tù ḫa-mu-uš-tim ša kur-ub-IŠTAR a-na 10 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA a-na 1 ma-na-im ṣí-ib-tám i-na ITU.KAM-im ú-ṣa-áb ITU.KAM qá-ra-a-tim li-mu-um ì-lí-dan IGI er-ra-ṣú-lu-li IGI a-šur-du-ri,"Aššur-mālik owes Dān-Aššur 1/3 minas 5 shekels refined silver.
He will pay in ten weeks from the ḫamuštim of Kurub-Ištar.
If he does not pay (on time), he will add 1 1/2 shekels 1 mina interest per mina per month.",oare_published_silver,local_oare_assets_for_offline_research_only,published_agg_parent,0f42f658-3eba-bc75-a1ad-414af3e4af65,,debt note,Cuneiform Tablet Kt v/k 32 (AKT 3 5),,,38,40,taskform_winner_a1_silver_builder
