asset_id,oare_id,source_kind,genre_label,transliteration,source_word_len
trainfold_source_only::004a7dbd-57ce-46f8-9691-409be61c676e,004a7dbd-57ce-46f8-9691-409be61c676e,trainfold_source_only,trainfold_parallel,KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a 0.3333 ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb,50
trainfold_source_only::0064939c-59b9-4448-a63d-34612af0a1b5,0064939c-59b9-4448-a63d-34612af0a1b5,trainfold_source_only,trainfold_parallel,1 TÚG ša qá-tim i-tur₄-DINGIR il₅-qé,6
trainfold_source_only::0073f2c0-524c-4bbf-915a-8c1772a4fb98,0073f2c0-524c-4bbf-915a-8c1772a4fb98,trainfold_source_only,trainfold_parallel,TÚG u-la i-dí-na-ku-um i-tù-ra-ma 9 GÍN KÙ.BABBAR,7
trainfold_source_only::009fb838-8038-42bc-ad34-5f795b3840ee,009fb838-8038-42bc-ad34-5f795b3840ee,trainfold_source_only,trainfold_parallel,KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il₅-qé,23
trainfold_source_only::00aa1c55-c80c-4346-a159-73ad43ab0ff7,00aa1c55-c80c-4346-a159-73ad43ab0ff7,trainfold_source_only,trainfold_parallel,um-ma šu-ku-tum-ma a-na IŠTAR-lá-ma-sí ù ni-ta-aḫ-šu-šar qí-bi₄-ma mì-šu ša ta-áš-pu-ra-ni-ni um-ma a-tí-na-ma É-tum a-na lá be-tim i-tù-ar a-pu-tum a-na en-um-a-šùr i-<gap>-ni-ma e ší-na ga <gap> ša lá ta-ḫa-dì-ri a-na IŠTAR-lá-ma-sí qí-bi₄-ma šu-ma a-ḫa-tí a-ta li-ba-am dì-ni-ší-im lá ta-ḫa-da-ar a-na ni-ta-aḫ-šu-šar qí-bi₄-ma TÚG-pì-ri-kà-ni ša e-zi-bu na-pí-ší-šu-nu ù ṭup-pu-ú lu ša-ṣú-ru pì-ri-kà-nu ša ma-tí ù tí-bu-lá ma-a-<gap> iš-ta-ú-mu-ni a-dí en-um-a-šùr i-lá-kà-ni a ma-ma-an lá tù-šé-ri <gap> GÍN KÙ.BABBAR {d}UTU-tap-pá-i ub-lá-ki-im 1 GÍN KÙ.GI ù <gap> GÍN KÙ.BABBAR i-ku-pì-a ub-lá-ki-im,77
trainfold_source_only::0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9,0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9,trainfold_source_only,trainfold_parallel,KIŠIB a-lá-ḫi-im KIŠIB a-li-li KIŠIB a-bi₄-lá KIŠIB lá-qé-ep ša i-na ba-áb-tim ša a-šùr-be-el-ma-al-ki-im ša iš-ti DUMU a-tù-ri-a ù a-mur-a-šùr ḫi-na-a iṣ-bu-tù-ma a-na e-lá-ma ip-qí-du 2 ma-na 13.5 GÍN KÙ.BABBAR ṣa-ru-pá-am e-lá-ma a-na a-lá-ḫi-im ù a-li-li ip-qí-du KÙ.BABBAR a-na a-lá-ḫi-im a-li-li ù ḫi-na-a a ba-re-šu-nu i-lá-ak,45
trainfold_source_only::0126cd13-acf7-4cd5-8373-f1e7b54d824e,0126cd13-acf7-4cd5-8373-f1e7b54d824e,trainfold_source_only,trainfold_parallel,a-na É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de₈-ú-ni a-ta 30 TÚG ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR ta-lá-qé-e um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il₅-pu-ut um-ma ša-lim-a-šur-ma a-šar ÌR a-na ÌR-dí-kà lá i-tù-ru-ú ma-a a-na ÌR-dí-a i-tù-wa-ar um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-a-ar a-na TÚG.ḪI.A ù ANŠE.ḪI.A a-za-za-kum a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr,83
trainfold_source_only::017c5be4-f459-4ef5-a045-5933e79c01f9,017c5be4-f459-4ef5-a045-5933e79c01f9,trainfold_source_only,trainfold_parallel,ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša PÚZUR-a-šur ù PÚZUR-{d}IŠKUR ṭup-pu-um ša 4 ma-na KÙ.BABBAR ša PÚZUR-a-šur ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša al-pì-lí ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ú PÚZUR-a-šur ṭup-pu-um ša 5 ma-na KÙ.BABBAR ša a-šùr-ṣú-lu-li ṭup-pu-um ša 17 ma-na 15 GÌN ša e-na-na-tim ṭup-pu-um ša ḫu-bu-ul a-bi-ni i-na ku-bu-ur-na-at al-qé-šu,61
trainfold_source_only::01cc1406-fc42-4252-aeae-6b4538b069c5,01cc1406-fc42-4252-aeae-6b4538b069c5,trainfold_source_only,trainfold_parallel,17 GÍN KÙ.BABBAR ší-im e-ma-ri-im 30 ma-na URUDU IŠTAR-pí-lá-aḫ a-na ar-be-e-šu <gap> ù-kà-pu-ú ša-pì-ú-tim 9 ma-na URUDU SIG₅ i ší-im sú-ub-ri-im 1 ma-na URUDU ší-kam iš-tí DUMU IŠTAR-ba-ni 2 kà-ar-pát kà-mu-nu mì-ma a-nim i-na du-ur-ḫu-mì-it i-ba-ší 10 pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-ra-am 2 ší-it-re-e ša za-al-pá 2 e-ma-re ú ù-nu-sú-nu mì-ma a-nim a-na a-šùr-i-mì-tí a-dí-in,64
trainfold_source_only::01cdba65-cee2-4988-b0ee-02dad64dbb5f,01cdba65-cee2-4988-b0ee-02dad64dbb5f,trainfold_source_only,trainfold_parallel,2 pí-ri-kà-ni-e šu-ku-tum 2 pí-ri-kà-ni-e en-na-sú-in 2 pí-ri-kà-ni ù ší-it-ru-um ša a-ki-dí-e 0.5 GÍN KÙ.BABBAR i li-bé-e ḫa-nu-ú 1 pí-ri-kà-num 1 ša za-al-pá-a ni-ib-ra-ru-um a-zu-ú ù DINGIR-áš-ra-ni a-ṣé-er a-mur-IŠTAR ub-lu-ú mì-ma pí-ri-kà-ni-e a-ni-ú-tim a-na ta-ad-mì-iq-tim IŠTAR-lá-ma-sí ta-ta-dí-in,37
