id,reference,prediction_retrieval_raw_longtrain,sentence_geom_retrieval_raw_longtrain,prediction_replay15,sentence_geom_replay15,unique_candidate_count
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,"From Šu-Tammuzī, Elaya, Ennam-Aššur and Lamassī to Ennam-Aššur and Ali-ahum: In accordance with your missive we have hired a attorney for you Abiya son of Bebe is our attorney Take care to stand by the very day the attorney arrives, and have the attorney assist you
both with regard to the customers of your father and those with whom you have an argument, and of the first silver, wherever you receive it, collect the silver of the City Hall, as much as your father owes, seal the silver and send it
the attorney should seal it together with you, and then send the silver so we can satisfy the eponym The compound interest should not grow too big for you and make you unhappy Act so as to save your father's house If you observe
that there are certified deeds and credits outstanding on long terms, then seal the tablets, entrust them to a trustworthy affiliated trader, like yourselves, and do not extend your terms without special reasons, do not delay but set out and come together with the attorney
Here we seized (witnesses) against Šu-Kūbum and said: Did Šalim-Aššur give you 5 minas of silver out of those in your tablet "" He refused to confirm to us the silver, what you will declare there 0 6666 mina of silver: hire for the attorney he received 0 3333 mina of silver here and will receive 0 3333 mina there We gave 16 3333 shekels of silver for their disposal
36 6666 shekels of silver, their expenses, we borrowed in a merchant-house against interest Seal silver there and send it with the first transport so we can pay back the merchant Also, send at least 1 or 2
minas of silver send it so we can store 40 litres of grain before you come Elaya says: If you are truly my brothers, you must seal the proceeds from the textile in silver and do me a favour
""","Sealed by Šu-Tammuzī, Elaya, Ennam-Aššur son of Elamma and Lamassī; to Ennam-Aššur.
From Atata, Šu-Anum, Dannaya and Lamassī to Ali-ahum: In accordance with your instructions we got a tablet of the City for you; also, we hired an attorney for you. Following the verdict of the City they must release the…
Have the eponym assist you there and since he gave 13 minas each to his investors he should also give 13 minas each to his investors he should also give 13 minas each to his investors he should also give 13 minas each to the eponym
Urgent, take care there, clear yourself, set out and come Here interest on the silver due to the City Hall has increased for you, so if you are delayed, then have the silver of the City Hall procured, seal it and give i…
Witnessed by Enna-Suen, by Šar-Adad, by Ilī-bāni ""
My dear brothers and lords, the man has cheated me once or twice Seize him and have him pay the silver and as much interest as you can manage and then buy tin for me, seal it and give it to a reliable affiliated trader…
Is cleared, stating that the wool and 7 donkeys belong to Ennam-Aššur Seal the wool and entrust it under your seals together with my other goods so they may conduct it here
Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum Reckoned from the week of Ilīd…",17.953,"To Šu-Tammuzi, Elaya, Ennam-Aššur and Lāmassī: Ennam-Aššur and Lāmassī: Ennam-Aššur and Ali-ahum from Ennam-Aššur and Ali-ahum from Ennam-Aššur and Ali-ahum from Ennam-Aššur and Ali-ahum
Seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal of Abiya son of Bebe, seal o
Seal of the silver and send me the silver to the silver and send me the silver to the silver and send me the silver and send me the silver to the silver and send me the silver ""
Seal of the City that you have not paid the silver that you have not paid the silver that you have not paid the silver that you have not paid the silver that you have not paid the silver
If you have not paid the silver that you have not paid the silver that you have not paid the silver that you have not paid the silver that you have not paid the silver that you have not paid the silver
Seal of the silver and the silver will pay the silver and the silver will pay the silver and the silver will pay the silver and the silver will pay the silver and the silver will pay the silver
If you have not paid the silver and send me the silver to the silver and send me the silver ""
missississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississississi",11.6534,2
02351a98-b66c-42eb-90a7-11d834afe8e8,"To Šalim-Aššur from Iddin-abum, Itūr-ilī, Inah-ilī, Ennam-Aššur and Ali-ahum: You have written us, saying: x, further, 92 Abarnian textiles, <gap>"" <gap> -Aššur <gap> of credit <gap> -textiles that you wrote <gap> you
must <gap> there; <gap> total of your textiles: <gap> hundred textiles; thereof 4 robes, 2 -textiles you will receive for 27.8333 minas 2 shekels of tin <gap> 100 <gap> textiles <gap>
either <gap> 7 Abarnian textiles <gap> fine -textiles <gap> 1 <gap> 30 fine -textiles <gap> apart from 4 textiles <gap>50 textiles for <gap> 7 textiles, the import duty, <gap> textiles for the wrapping <gap> your -textiles <gap> Kurub-Ištar <gap> sealed <gap> in the house <gap> are available <gap> that you gave to Ali-ahum, <gap> donkeys died during the journey, their <gap> he
bought for 32 shekels of silver; 23 donkeys has <gap>-Aššur <gap> to Burušhaddum; <gap> 10 donkeys Ali-ahum left in support of your goods. 1 donkey <gap> bought. Of the 2 minas of silver that you gave for his disposal 32 shekels of silver he paid as the price of <gap> For the rest of your silver, <gap> minas 2 shekels of his tin
600 nails <gap> I returned to you. 86 green ones <gap> of the wool <gap> 5 minas 8 shekels of tin <gap> 24 minas each. 1 talent of copper that your eye <gap> and 4 <gap> 20-<gap> minas 5 shekels of tin under your seal <gap> that when they <gap> released, now, 4 talents 12 minas of theirs; 27! 0.8333 minas 2
shekels of tin he received for 4 robes and 2 -textiles, and your tin, 5 talents 57 minas 7 shekels - 4 talents <gap> Dadaya <gap> Qaqqadānum <gap> and 0.5 mina Aššur-<gap> of 48 <gap> Uzuwa to Kanesh <gap> tin and textiles 10 <gap> 10.5 minas of tin <gap> to the son of Ikra<gap> the rest of your tin: 30 <gap> in <gap>""","From Šalim-Aššur to Iddin-abum, Itūr-ilī, Ennānum, Enah-ilī and Ennam-Aššur: As to what you wrote to me about, saying: Enter the colony and bring your house in order, and then, clear the affairs with your sons and do no…
Timelkiya, I paid 2 minas 10 shekels of silver for carriage of the tin and the textiles from hahhum to hurama.
Total of your silver: 15 minas 10 shekels, Ṣilliya brings you under our seal - both that from the tin and that from your textiles.
Transport tariff 8 3333 shekels of silver: export duty 0 3333 mina 4 shekels of silver: both harness for the donkeys and their fodder - in all: 19 minas 4 3333 shekels of silver: both harness for the donkeys and their fodder - in all: 19 minas 4 3333 shekels of silver: both harness for the donkeys and their fodder - in all: 19 minas 4 3333 shekels of silver: both harness for the do
Urgent, my dear brothers and lords, he terrified the house there <gap> His message should come to my representatives, so I can set out and come <gap>""
To Iliya, 12 -textiles of Aššur-lamassī, 100 of Kurub-Ištar, 98 of Elamma.",8.5826,"To Šalim-Aššur from Iddin-abum, Itūr-ilī, Inah-ilī, Ennam-Aššur and Ali-ahum: Itūr-ilī, Ennam-Aššur and Ali-ahum said: ""The silver has brought you the silver and the silver has brought you the silver and the silver has brought you to you
Seal of the silver <gap>-Aššur son of <gap>-Aššur son of <gap>-Aššur son of Aššur son of Šu-Aššur son of Šu-Aššur son of Šu-Aššur son of Šu-Aššur <gap>
Seal of the silver <gap> the silver <gap> the silver <gap> the silver <gap> the silver <gap> the silver <gap> the silver <gap> the silver <gap> the silver <gap> the silver <gap> the silver <gap>
Seal of <gap>-Aššur <gap> 30 talents of silver <gap> and <gap> 30 talents of silver <gap> 11 minas of silver <gap> 11 minas of silver <gap> 11 minas of silver <gap> 11 minas of silver <gap> 11 minas of silver <gap> 11 minas of silver <gap>
Seal of the silver <gap> 1 shekel of silver <gap> 1 shekel of silver <gap> 1 shekel of silver <gap> 1 shekel of silver <gap> 1 shekel of silver <gap> 1 shekel of silver <gap> 1 shekel of silver <gap> 1 shekel of silver <gap>
Seal of Kurub-Ištar 5 shekels of refined silver <gap> Kurub-Ištar 5 shekels of refined silver <gap> Kurub-Ištar 5 shekels of refined silver <gap>",21.5437,2
02d16b63-3fab-4c1d-8262-4cd74f6532f1,9 shekels of tin: Eluhut;,"Send me 1 talent of tin The tin should <gap> Ennam-Aššur should seal the 40 minas of tin in your possession The tin that you purchase yourselves, you personally must seal it together with him",4.8896,The 9 shekels of silver Eluhut 10 shekels of silver and Šalšatum <gap> minas <gap> minas <gap> minas <gap> minas <gap> minas <gap> minas <gap> minas <gap> minas <gap> minas <gap>,8.5091,2
041c9029-8f6f-40f8-989b-77a75878221c,"To Ali-ahum from Puzur-Aššur: 0 5 mina of silver that I acquired for myself( ) and you sent to me, 0 5 mina of silver under my seal Ennānum son of Kuziya brought to you My dear brother, pay attention to the missives from the City that Ennānum brought to you, and give it (an answer
) to the very first express transport so they may bring it He should leave with the first travellers to depart","To Ali-ahum from Puzur-Aššur: As to the 0.5 mina of silver that you sent to me in hurrama, Ennānum son of Kuziya brings you 0.5 mina of silver that you sent to me in hurrama, Ennānum son of Kuziya brings you 0.5 mina of silver that you sent to me in hurrama, Ennānum son of Kuziya brings you 0.5 mina of silver that you sent to me in hurrama, Ennānum son of Kuziya brings you 0.
To Ali-ahum from Puzur-Aššur: As to the 0.5 mina of silver that you sent to me in hurrama, Ennānum son of Kuziya brings you 0.5 mina of silver under my seal. The missives from theCity that they brought to you, my dear b…",25.9948,"To Ali-ahum from Puzur-Aššur: 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya, 0.5 mina of silver from Paniya,
Send me the silver to you and send me the silver to your silver and send me the silver to your silver """,13.191,2
04939319-b287-455f-9634-e86658e6e392,To Ahātum; seal of Ali-ahum and seal of Iddin-abum.,"To Ennam-Aššur, sealed by Ali-ahum and <gap>-Ištar.",15.3138,Seal of Ali-ahum and Iddin-abum.,29.9239,2
04e66f12-63a3-45ce-b27a-cc74cea47f60,"Seal of Ali-ahum son of Elāli, seal of Ennam-Aššur son of Enna-Suen, seal of Dan-Aššur son of Šalim-ahum, seal of Pūšu-kēn son of Sueyya If Aššur-taklāku has given a joint-stock investment to Ennam-Aššur, then he will receive 2
minas of silver out of the 1 talent 2 minas of silver in his certified tablet, belonging to Ennam-Aššur, and he will write down 3 minas of gold in the name of Pūšu-kēn with his other investors
If Aššur-taklāku has refused him, then Pūšu-kēn will give 40 minas of silver, representing 10 minas of gold, within 46 weeks reckoned from the week of Iddin-Aššur and Ikūnum, and Pūšu-kēn will
make Ennam-Aššur's joint-stock investment enter wherever it is favourable for him If Pūšu-kēn has not given a joint-stock investment to Ennam-Aššur (in time), Pūšu-kēn must give 10 minas of refined silver to Ennam-Aššur
If Ennam-Aššur has refused, he must pay 10 minas of refined silver to Pūšu-kēn This memorandum is a copy of a certified tablet sealed by Pūšu-kēn","To Ennam-Aššur, sealed by Ali-ahum and <gap>-Ištar.
If they write his tablet before his term is up, he shall book 5 minas of gold in the name of Šu-Illil Witnessed by Amur-Ištar, by Ennam-Aššur
To Aššur-ṭāb From the week of Pūšu-kēn and Ennum-Bēlum, month IV, eponymy of Aššur-idī Seal of Aššur-šamšī, son of Ilī-tūram, that Ištar-ilšu, son of Azuzaya, owes 45 shekels of refined silver to Aššur-ṭāb
Aššur-taklāku received 8.3333 minas 4.5 shekels of silver from the caravan of Pūšukēn; Šar-Suen deposited 13.3333 minas of silver in Pūšukēn's caravan.
They will pay in 4 weeks 0 3333 mina of refined silver is owed by Ilī-bāni he will pay on his return from the City 10 5 minas of refined silver is owed by Pilah-Ištar Month Tē'inātum,",19.0118,"To Ali-ahum son of Elali, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of Ennam-Aššur, son of
From 1 shekel 2 minas of refined silver to Ennam-Aššur 2 minas of refined silver to Ennam-Aššur 2 minas of refined silver to Ennam-Aššur 2 minas of refined silver to Ennam-Aššur 2 minas of refined silver to Ennam-Aššur
Seal of Iddin-Aššur and Ikūnum son of Aššur-taklāku, <gap>-20 minas of refined silver from Iddin-Aššur and Ikūnum son of Ennam-Aššur and Ikūnum son of Ennam-Aššur and Ikūnum son of Ennam-Aššur
From Ennam-Aššur to Ennam-Aššur to Ennam-Aššur and Ennam-Aššur has not paid 10 minas of refined silver from Ennam-Aššur and Ennam-Aššur has not paid 10 minas of refined silver from Ennam-Aššur
Seal of Pūšu-kēn, son of Pūšu-kēn, seal of Pūšu-kēn, seal of Pūšu-kēn, seal of Pūšu-kēn, seal of Pūšu-kēn, seal of Pūšu-kēn, seal of Pūšu-kēn, seal of Pūšu-kēn, seal of Pūšu-kēn.",22.9269,2
05083743-603f-48b5-a6c7-f089ed845d94,"Say to Atata and Kannutum, thus Anah-ili: ""(As for the) 0 5 mina of gold and 1 5 mina of silver, belonging to Kannutum, which silver Ili-bani, representing Kannutum, entrusted to me - here Ali-abum has caused me
trouble and caused expenses of 1 mina of silver He has now dragged me before the City and by verdict of the City Ali-abum will take that silver and gold and Ali-abum will be responsible for Kannutum's interests
Should Kannutum come back on Anah-ili, then Ali-abum will clear him The aforementioned silver and gold have been paid to the City Office for (to cover) Ili-bani's debts Over there, wherever goods ordered by Ili-bani are available, seize for a value of 0 5 mina of pasallum gold and 1 5 mina of silver or what has been bought for it and take it at your own responsibility
I have a strong tablet of the City stating that the silver and gold belong to Kannutum And if Kuliya comes in order to settle the affair, hold him in play until I arrive, do not settle the affair ""","To Atata, son of Mannum-balum-Assur, and Kannutum, daughter of Ennam-Suen. Seal of Anah-ili, son of Tabsilli-Assur
Investors of Šalim-Aššur may make demands Do this and dispatch the 2 tablets with verdicts of the City plus a copy of the testament, and hire an attorney and send Aluwa and the attorney as soon as possible
To Anah-ilī from the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the si
Aššur-ṭāb answered: ""You owe me 1 talent of silver I take responsibility for holding you "" Ennam-Aššur said: ""Do keep in mind what was sworn by the City and the king - that he detains me although I do not owe him """,9.6486,"To Atata and Kanesh from Anah-ilī: 0.5 mina of silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of refined silver and 1.5 mina of ref
To Ali-abum 1 mina of refined silver to Ali-abum and Ali-abum will pay 1 mina of refined silver to Ali-abum and Ali-abum will pay 1 mina of refined silver to Ali-abum and Ali-abum will pay 1 mina of refined silver to Ali-abum
From Anah-ilī to Anah-ilī to Anah-ilī, the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver and the silver
Seal of Kuliya and Kuliya and Kuliya have been sealed by Kuliya and Kuliya and Kuliya have been sealed by Kuliya and Kuliya have been sealed by Kuliya """,9.5203,2
054fdba4-0cff-4153-969d-c77e42413e1c,"0 5 mina for a working capital to Uṣur-ša-Aššur son of Amriya
0 3333 mina: Aššur-bēl-awātim to his son and Šāt-ilī","Seal of Aššur-bēl-awātim, seal of Zuba, seal of Iddin-Ištar, son of Aššur-mālik, seal of Ennam-Aššur, son of Aššur-bēl-awātim, seal of Iddin-Ištar, son of Aššur-mālik, seal of Ennam-Aššur, son of Aššur-bēl-awātim, seal of Ennam-Aššur, son of Aššur-bēl-awātim, seal of Ennam-Aššur, son of Aššur-mālik, seal of Ennam-Aššur, son of Aššur-bēl-awāt
I gave 4 shekels of silver to Amur-Ištar's wife.",4.9086,"To Uṣur-ša-Aššur son of Amriya, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333 mina Aššur-bēl-awātim, 0.3333
Turaya 5 shekels of refined silver 10 shekels of refined silver 10 shekels of refined silver 10 shekels of refined silver 10 shekels of refined silver 10 shekels of refined silver 10 shekels of refined silver 10 shekels of refined silver",8.8486,2
0677963f-3fac-4d49-b13e-9d6322bf6fb1,"Ennam-Aššur seized us against Ali-ahum and said to Ali-ahum: Come, let me question you "" Ali-ahum answered: ""Why do you want to question me "" Ennam-Aššur said: ""About the memoranda stating that I and you settled accounts
Contest or confirm to me that they are sealed by you and me "" Ali-ahum answered: ""As to the memoranda sealed by me and by you - yes, I do not contest my seal "" Ennam-Aššur said: ""Keep in mind what was sworn by the City
Bring my case to the City assembly and my lord "" The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger Witnessed by Aššur-rabi son of Lā-qēp, by Ilī-bāni son of Amur-Ištar ""","Ennam-Aššur seized us against Ali-ahum and showed him a missive that was not opened, and Ennam-Aššur said: Is this missive was not opened, and Ennam-Aššur said: Is this missive was not opened, and Ennam-Aššur said: Is this missive was not opened, and Ennam-Aššur said: Is this missive was not opened, and Ennam-Aššur said: Is this missive was not opened, and Ennam-Aššur
To you and I settled accounts and settled. Do not obstruct me!"" Ali-ahum answered Ennam-Aššur, saying: ""It is the memoranda with your seal and my sea
The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger Witnessed by Akuza, by Amurrum-bāni, by Lā-qēp Itūr-ilī son of Amur-Ištar",33.4517,"To Ennam-Aššur from Ali-ahum to Ali-ahum: You have not paid the silver to Ali-ahum: You have not paid the silver to Anaku and at the silver to Anaku and at the silver to Anaku and at the silver from Anaku and at the silver from Anaku and at the silver from Anaku and at the silver from Anaku and at the silver from Anaku and at the silver from Anaku and at the silver from Anaku and
From Ali-ahum to Ali-ahum: ""You have not sent me the silver and send me the silver to you and send me the silver to Ennam-Aššur's silver ""
Seal of Ali-ahum and Beliya will pay the silver to Aššur's dagger and Beliya will pay the silver to Aššur's dagger and Ilī-bāni son of Amur-Ištar. Witnessed by Aššur-ṭāb, by Ilī-bāni son of Amur-Ištar. Witnessed by Ilī-bāni son of Amur-Ištar. Witnessed by Ilī-bāni son of Amur-Ištar. Witnessed by Ilī-bāni son of Amur-Ištar. Witnessed by Ilī-bāni son of Amur",13.2746,2
06ec260a-bcc5-4762-b2ee-dfbc10cfbfbe,Certified tablets with my witnesses concerning the sons of Iddin-abum.,Certified tablets concerning Anatolians.,17.2676,"Seal of harumutum, seal of Šibiya, seal of Merre, Iddin-abum.",11.5405,2
