oare_id,parent_oare_id,chunk_index,chunk_mode,is_short_aligned,source,reference,prediction,src_char_len,ref_char_len,pred_char_len,pred_ref_char_ratio,pred_tok_len,ref_tok_len,pred_ref_tok_ratio,is_empty_pred,is_copy_source,has_bad_token_regex,is_exact_extra_id_0
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c1of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,0,ratio,,"translate Akkadian to English: um-ma šu-ta-mu-zi e-lá-a en-um-a-šùr ù lá-ma-sí-ma a-na en-um-a-šùr ù a-lá-ḫi-im

Retrieved source: KIŠIB šu-ta-mu-zi e-la-a en-um-a-šùr DUMU e-la-ma ù lá-ma-sí a-na en-um-a-šùr
Retrieved English hint: Sealed by Šu-Tammuzī, Elaya, Ennam-Aššur son of Elamma and Lamassī; to Ennam-Aššur.","From Šu-Tammuzī, Elaya, Ennam-Aššur and Lamassī to Ennam-Aššur and Ali-ahum: In accordance with your missive we have hired a attorney for you Abiya son of Bebe is our attorney Take care to stand by the very day the attorney arrives, and have the attorney assist you","Sealed by Šu-Tammuzī, Elaya, Ennam-Aššur son of Elamma and Lamassī; to Ennam-Aššur.",316,265,83,0.3132075471698113,91,273,0.3333333333333333,False,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c2of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,1,ratio,,"qí-bi₄-ma a-ma-la na-áš-pé-er-tí-ku-nu ra-bi-ṣa-am ni-ḫu-za-ku-nu-tí a-bi-a DUMU be-e-be ra-bi₄-iṣ-ni i-na ša-am-ší ša ra-bi-ṣú-um e-ra-ba-ni iḫ-da-ma

Retrieved source: um-ma a-ta-ta šu-a-nu-um da-na-a ù la-ma-sí-ma a-na a-lá-ḫi-im qí-bi-ma a-na ma-la tí-ir-tí-kà ṭup-pá-am ša a-lim{ki} ni-il₅-qé-a-ku-um ù ra-bi-ṣa-am ni-ḫu-za-…
Retrieved English hint: From Atata, Šu-Anum, Dannaya and Lamassī to Ali-ahum: In accordance with your instructions we got a tablet of the City for you; also, we hired an attorney for you. Following the verdict of the City they must release the…","both with regard to the customers of your father and those with whom you have an argument, and of the first silver, wherever you receive it, collect the silver of the City Hall, as much as your father owes, seal the silver and send it","From Atata, Šu-Anum, Dannaya and Lamassī to Ali-ahum: In accordance with your instructions we got a tablet of the City for you; also, we hired an attorney for you. Following the verdict of the City for you; also, we hired an attorney for you. Following the verdict of the City for you; also, we hired an attorney for you. Following the verdict of the City for you; also, we hired an",575,234,382,1.6324786324786325,385,235,1.6382978723404256,False,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c3of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,2,ratio,,"i-zi-za-ma lu DAM.GÀR a-bi-ku-nu lu ša a-wa-tám tí-šu-a-ni ra-bi-ṣú-um i-na ša-ḫa-tí-ku-nu li-zi-iz-ma i-na KÙ.BABBAR pá-ni-ma

Retrieved source: i ša-ḫa-tí-ku-nu li-zi-iz-ma ki-ma 13 ma-na.TA a-na um-me-a-ni-šu i-dí-nu ù šu-ut 13 ma-na.TA a-na li-mì-im li-dí-in
Retrieved English hint: Have the eponym assist you there and since he gave 13 minas each to his investors he should also give 13 minas each to the eponym","the attorney should seal it together with you, and then send the silver so we can satisfy the eponym The compound interest should not grow too big for you and make you unhappy Act so as to save your father's house If you observe",The eponym assist you there and since he gave 13 minas each to his investors he should also give 13 minas each to his investors he should also give 13 minas each to his investors he should also give 13 minas each to the eponym,416,228,226,0.9912280701754386,227,229,0.9912663755458516,False,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c4of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,3,ratio,,"a-šar ta-ma-ḫa-ra-ni KÙ.BABBAR ša É a-lim{ki} šu-ta-aṣ-bi-ta-ma ma-lá a-bu-ku-nu ḫa-bu-lu KÙ.BABBAR ku-un-kà-ma šé-bi-lá-nim ra-bi₄-ṣú-um iš-tí-ku-nu

Retrieved source: ta-ur a-pu-tum a-ma-kam i-ḫi-id-ma ra-ma-kà za-ki-a-ma tí-ib-a-ma a-tal-kam a-na-kam KÙ.BABBAR ša É a-lim{ki} ṣí-ib-tum im-tí-da-ku-nu-tí ù šu-ma a-ta sà-aḫ-ra…
Retrieved English hint: Urgent, take care there, clear yourself, set out and come Here interest on the silver due to the City Hall has increased for you, so if you are delayed, then have the silver of the City Hall procured, seal it and give i…","that there are certified deeds and credits outstanding on long terms, then seal the tablets, entrust them to a trustworthy affiliated trader, like yourselves, and do not extend your terms without special reasons, do not delay but set out and come together with the attorney","Take care there, clear yourself, set out and come Here interest on the silver due to the City Hall has increased for you, so if you are delayed, then have the silver of the City Hall procured, seal it and give i…",574,273,212,0.7765567765567766,215,274,0.7846715328467153,False,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c5of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,4,ratio,,"li-ik-nu-uk-ma KÙ.BABBAR šé-bi-lá-nim-ma li-ma-am lu nu-ša-bi ṣí-ba-at ṣí-ib-tim lá i-ma-i-da-ku-nu-tí-ma li-ba-ku-nu e im-ra-aṣ ma-lá e-ṭá-ar É a-bi₄-ku-nu ep-ša šu-ma ta-da-ga-lá-ma ṭup-pu ḫa-ru-mu-tum

Retrieved source: ni-ik-nu-uk-ma a-na a-lim lu ni-lik
Retrieved English hint: Witnessed by Enna-Suen, by Šar-Adad, by Ilī-bāni ""","Here we seized (witnesses) against Šu-Kūbum and said: Did Šalim-Aššur give you 5 minas of silver out of those in your tablet "" He refused to confirm to us the silver, what you will declare there 0 6666 mina of silver: hire for the attorney he received 0 3333 mina of silver here and will receive 0 3333 mina there We gave 16 3333 shekels of silver for their disposal","From witnessed by Enna-Suen, by Šar-Adad, by Ilī-bāni """,333,366,55,0.1502732240437158,59,372,0.1586021505376344,False,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c6of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,5,ratio,,"ú ba-ba-a-tum ru-qá-tum i-ba-ší-ú ṭup-pí ku-un-kà-ma a-na DUMU um-me-a-nim ke-nim ša ki-ma

Retrieved source: a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb a-ḫu-ú-a be-lu-ú-a a-tù-nu a-wi-lúm a-dí ma-lá ù ší-ni-šu iṣ-li-a-ni ṣa-áb-ta-šu-ma KÙ.BABBAR ù ṣí-ba-sú ma-lá ta-le-e-a-ni…
Retrieved English hint: My dear brothers and lords, the man has cheated me once or twice Seize him and have him pay the silver and as much interest as you can manage and then buy tin for me, seal it and give it to a reliable affiliated trader…","36 6666 shekels of silver, their expenses, we borrowed in a merchant-house against interest Seal silver there and send it with the first transport so we can pay back the merchant Also, send at least 1 or 2","The man has cheated me once or twice Seize him and have him pay the silver and as much interest as you can manage and then buy tin for me, seal it and give it to a reliable affiliated trader…",513,205,191,0.9317073170731708,194,206,0.941747572815534,False,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c7of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,6,ratio,,"ku-nu-tí pí-iq-da-ma u₄-me-e-ku-nu ba-lu-um mì-ma-ma lá tù-ri-qá-ma lá ta-sà-ḫu-ra iš-tí ra

Retrieved source: ma-lá ša-áp-tám i-za-ku-a-ni ší-bé-e šu-uk-na-šu-nu-tí ki-ma ša-áp-tum ú 7 ANŠE.ḪI.A ša en-um-a-šur ša-áp-tám kà-ni-kà-ma ku-nu-ki-ku-nu iš-tí lu-qú-tí-a-ma pí…
Retrieved English hint: is cleared, stating that the wool and 7 donkeys belong to Ennam-Aššur Seal the wool and entrust it under your seals together with my other goods so they may conduct it here","minas of silver send it so we can store 40 litres of grain before you come Elaya says: If you are truly my brothers, you must seal the proceeds from the textile in silver and do me a favour",The wool and 7 donkeys belong to Ennam-Aššur Seal the wool and entrust it under your seals together with my other goods so they may conduct it here,468,189,147,0.7777777777777778,150,190,0.7894736842105263,False,False,False,False
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf__c8of8,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,7,ratio,,"nan

Retrieved source: KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a 0.3333 ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a…
Retrieved English hint: Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum Reckoned from the week of Ilī-d…","""","Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum Reckoned from the week of Ilīd…",428,1,194,194.0,208,2,104.0,False,False,False,False
02351a98-b66c-42eb-90a7-11d834afe8e8__c1of6,02351a98-b66c-42eb-90a7-11d834afe8e8,0,ratio,,"translate Akkadian to English: a-na ša-lim-a-šùr qí-bi-ma um-ma i-dí-a-bu-um i-tur₄-DINGIR i-na-aḫ-DINGIR en-um-a-šùr ù a-la-ḫu-um-ma ta-áš-pu-ra-am um-ma a-ta-ma

Retrieved source: um-ma ša-lim-a-šùr-ma a-na i-dí-a-bi-im i-tur₄-DINGIR en-na-nim e-na-aḫ-DINGIR ù en-um-a-šùr-ma a-dí ša ta-áš-pu-ra-ni-ni um-ma a-tù-nu-ma a-na kà-ri-im er-ba-…
Retrieved English hint: From Šalim-Aššur to Iddin-abum, Itūr-ilī, Ennānum, Enah-ilī and Ennam-Aššur: As to what you wrote to me about, saying: Enter the colony and bring your house in order, and then, clear the affairs with your sons and do no…","To Šalim-Aššur from Iddin-abum, Itūr-ilī, Inah-ilī, Ennam-Aššur and Ali-ahum: You have written us, saying: x, further, 92 Abarnian textiles, <gap>"" <gap> -Aššur <gap> of credit <gap> -textiles that you wrote <gap> you","To Šalim-Aššur to Iddin-abum, Itūr-ilī, Ennānum, Enah-ilī and Ennam-Aššur: As to what you wrote to me about, saying: Enter the colony and bring your house in order, and then, clear the affairs with your sons and do no…",587,217,218,1.0046082949308757,230,228,1.0087719298245614,False,False,False,False
02351a98-b66c-42eb-90a7-11d834afe8e8__c2of6,02351a98-b66c-42eb-90a7-11d834afe8e8,1,ratio,,"<gap> ku-ta-nu a-ḫa-ma 92 TÚG a-ba-ar-ni-ú <gap>-a-šùr qí-ip-tim <gap> ku-ta-ni <gap> bu-ra-e <gap> ta-áš-pu-ra-ni <gap> ku <gap>-at-ma

Retrieved source: ga-me-er <gap>-na a-na <gap> na <gap> 0.8333 ma-na <gap> UD.ḪI.A bu <gap>-na ra-bi₄-ṣí-im <gap> 0.5 ma-na <gap> 25 TÚG <gap> 30 ma-na <gap> ù 35 TÚG <gap> šu-k…
Retrieved English hint: Timelkiya, I paid 2 minas 10 shekels of silver for carriage of the tin and the textiles from hahhum to hurama.","must <gap> there; <gap> total of your textiles: <gap> hundred textiles; thereof 4 robes, 2 -textiles you will receive for 27.8333 minas 2 shekels of tin <gap> 100 <gap> textiles <gap>","Timelkiya, I paid 2 minas 10 shekels of silver for carriage of the tin and the textiles from hahhum to Hurama.",450,183,110,0.6010928961748634,111,184,0.6032608695652174,False,False,False,False
