oare_id,parent_oare_id,fold,group_key,group_kind,group_source
extpub__a164aa20-7647-feda-6da8-0522c4b61a29,extpub__a164aa20-7647-feda-6da8-0522c4b61a29,2,external|0.33333|gín|15|l4,external_parent,silver_external
extpub__11ac1920-cbf9-43eb-b579-e11523751a19,extpub__11ac1920-cbf9-43eb-b579-e11523751a19,3,external|0.33333|ma-na|1.5|l6,external_parent,silver_external
extpub__7c8dfa44-81d5-0e4f-efab-84291f28e455,extpub__7c8dfa44-81d5-0e4f-efab-84291f28e455,4,external|0.33333|ma-na|2|l13,external_parent,silver_external
extpub__24d52193-1178-4daf-874c-56d988c19496,extpub__24d52193-1178-4daf-874c-56d988c19496,1,external|0.33333|ma-na|2.5|l4,external_parent,silver_external
extpub__111cd2be-5224-2bd7-159b-ed4c842d0c9c,extpub__111cd2be-5224-2bd7-159b-ed4c842d0c9c,1,external|0.33333|ma-na|2.5|l4,external_parent,silver_external
extpub__56888e35-0a49-8294-22de-aaa879c4b9a6,extpub__56888e35-0a49-8294-22de-aaa879c4b9a6,1,external|0.33333|ma-na|3|l3,external_parent,silver_external
extpub__c3fbd189-aa84-4973-9358-bf0972766c21,extpub__c3fbd189-aa84-4973-9358-bf0972766c21,3,external|0.33333|ma-na|3|l5,external_parent,silver_external
extpub__5639bdce-3649-1d65-c0bb-22d703f51ee1,extpub__5639bdce-3649-1d65-c0bb-22d703f51ee1,4,external|0.33333|ma-na|5|l3,external_parent,silver_external
extpub__d14f18b9-a0a0-438b-65eb-34207b685562,extpub__d14f18b9-a0a0-438b-65eb-34207b685562,1,external|0.33333|ma-na|5|l4,external_parent,silver_external
extpub__0f42f658-3eba-bc75-a1ad-414af3e4af65,extpub__0f42f658-3eba-bc75-a1ad-414af3e4af65,2,external|0.33333|ma-na|5|l4,external_parent,silver_external
extpub__90c8707d-f502-d8e7-ef45-9a94e3666552,extpub__90c8707d-f502-d8e7-ef45-9a94e3666552,4,external|0.33333|ma-na|5|l5,external_parent,silver_external
extpub__9886ba0d-9b82-4d08-aaef-a00d071cde8e,extpub__9886ba0d-9b82-4d08-aaef-a00d071cde8e,1,external|0.33333|ma-na|6|l4,external_parent,silver_external
extpub__b05376c2-fc3d-49f8-9792-a25c0df9c383,extpub__b05376c2-fc3d-49f8-9792-a25c0df9c383,4,external|0.33333|ma-na|7|l4,external_parent,silver_external
extpub__679827c7-bb12-2189-07c2-9854f3d221c7,extpub__679827c7-bb12-2189-07c2-9854f3d221c7,1,external|0.33333|ma-na|8|l6,external_parent,silver_external
extpub__2f673bf0-dd13-4a4a-8641-a8a980ce80e0,extpub__2f673bf0-dd13-4a4a-8641-a8a980ce80e0,2,external|0.33333|ma-na|<gap>|l5,external_parent,silver_external
extpub__6fcf9a5c-d31f-4594-9172-8fc44228d98e,extpub__6fcf9a5c-d31f-4594-9172-8fc44228d98e,1,external|0.33333|ma-na|kù.babbar|l1,external_parent,silver_external
extpub__7200b492-4164-491f-b0f6-e5e0b9c2c225,extpub__7200b492-4164-491f-b0f6-e5e0b9c2c225,2,external|0.33333|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__914b7b36-cde7-447b-ac29-315307f9b520,extpub__914b7b36-cde7-447b-ac29-315307f9b520,1,external|0.33333|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__e7d13ac7-b491-4ec3-bfa5-2f1167216825,extpub__e7d13ac7-b491-4ec3-bfa5-2f1167216825,4,external|0.33333|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__67026ab1-a529-4102-bf76-73cbc08f4506,extpub__67026ab1-a529-4102-bf76-73cbc08f4506,3,external|0.33333|ma-na|kù.babbar|l3,external_parent,silver_external
extpub__9d23fc8a-a82a-497c-ae4a-e1c01cc184b0,extpub__9d23fc8a-a82a-497c-ae4a-e1c01cc184b0,3,external|0.33333|ma-na|kù.babbar|l1,external_parent,silver_external
extpub__03bd3de2-f404-5a2e-a364-35c4685a6660,extpub__03bd3de2-f404-5a2e-a364-35c4685a6660,2,external|0.33333|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__882d6b32-0e76-8484-126c-059372fd5590,extpub__882d6b32-0e76-8484-126c-059372fd5590,3,external|0.33333|ma-na|kù.babbar|l5,external_parent,silver_external
extpub__1b63f1bc-db10-b297-6f03-2bb746868606,extpub__1b63f1bc-db10-b297-6f03-2bb746868606,1,external|0.33333|ma-na|kù.babbar|l2,external_parent,silver_external
extpub__f2b0402b-1c69-4d5f-92ed-1240b94339c4,extpub__f2b0402b-1c69-4d5f-92ed-1240b94339c4,4,external|0.33333|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__563d9ff1-f851-4ccc-b6de-fe1b04450160,extpub__563d9ff1-f851-4ccc-b6de-fe1b04450160,1,external|0.33333|ma-na|kù.babbar|l4,external_parent,silver_external
extpub__9bcf1bd2-f12c-b04e-03b4-28fede6a32d7,extpub__9bcf1bd2-f12c-b04e-03b4-28fede6a32d7,4,external|0.33333|ma-na|kù.babbar|l6,external_parent,silver_external
extpub__063ab271-8cce-758c-d31a-6160eaa9ac3e,extpub__063ab271-8cce-758c-d31a-6160eaa9ac3e,3,external|0.33333|ma-na|kù.babbar|l1,external_parent,silver_external
extpub__22c0af8d-0e75-433d-aef3-670b4cfb12b5,extpub__22c0af8d-0e75-433d-aef3-670b4cfb12b5,2,external|0.33333|ma-na|kù.gi|l4,external_parent,silver_external
extpub__ed8f6ce2-b53d-42f8-bdfb-5efe0740a89f,extpub__ed8f6ce2-b53d-42f8-bdfb-5efe0740a89f,2,external|0.33333|ma-na|lá|l4,external_parent,silver_external
