asset_id,oare_id,source_kind,transliteration,remove_reason
published_source_only::017c5be4-f459-4ef5-a045-5933e79c01f9,017c5be4-f459-4ef5-a045-5933e79c01f9,published_source_only,ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša PÚZUR-a-šur ù PÚZUR-{d}IŠKUR ṭup-pu-um ša 4 ma-na KÙ.BABBAR ša PÚZUR-a-šur ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša al-pì-lí ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ú PÚZUR-a-šur ṭup-pu-um ša 5 ma-na KÙ.BABBAR ša a-šùr-ṣú-lu-li ṭup-pu-um ša 17 ma-na 15 GÌN ša e-na-na-tim ṭup-pu-um ša ḫu-bu-ul a-bi-ni i-na ku-bu-ur-na-at al-qé-šu,published_duplicate
published_source_only::01cdba65-cee2-4988-b0ee-02dad64dbb5f,01cdba65-cee2-4988-b0ee-02dad64dbb5f,published_source_only,2 pí-ri-kà-ni-e šu-ku-tum 2 pí-ri-kà-ni-e en-na-sú-in 2 pí-ri-kà-ni ù ší-it-ru-um ša a-ki-dí-e 0.5 GÍN KÙ.BABBAR i li-bé-e ḫa-nu-ú 1 pí-ri-kà-num 1 ša za-al-pá-a ni-ib-ra-ru-um a-zu-ú ù DINGIR-áš-ra-ni a-ṣé-er a-mur-IŠTAR ub-lu-ú mì-ma pí-ri-kà-ni-e a-ni-ú-tim a-na ta-ad-mì-iq-tim IŠTAR-lá-ma-sí ta-ta-dí-in,published_duplicate
published_source_only::02d16b63-3fab-4c1d-8262-4cd74f6532f1,02d16b63-3fab-4c1d-8262-4cd74f6532f1,published_source_only,9 GÍN AN.NA e-lu-ḫu-ut 10 GÍN AN.NA ú šál-ša-tim en-na-nu-um <gap> ma-na <gap>,val_overlap
published_source_only::0309d067-0bb7-40f6-9d27-1dfb0c60e507,0309d067-0bb7-40f6-9d27-1dfb0c60e507,published_source_only,23.5 GÚ SÍG.ḪI.A 66 maš-ku 10 ANŠE ṣa-lá-mu ú ú-nu-sú-nu 25 TÚG.ḪI.A mì-ma a-nim i ša-ni-tim šé-pí-šu-nu 10 GÍN AN.NA 2 šé-ni-in ša sí-ni-iš-tim 8 šé-ni ša ṣú-ùḫ-ri-im 3 ma-ar-šu e-ba-du-ni du-ug-li mì-ma a-nim a-na qá-tí-šu-nu a-dí-in e-zi-ib sà-ḫe-er-tám ša i pá-ni-tim a qá-tí-šu-nu a-dí-nu-ni 19 GÚ 20 ma-na SÍG.ḪI.A me-at 2 maš-ku i šé-ep a-šu-ú-ma-an i-li-ik,published_duplicate
published_source_only::06299b1e-f2dd-35d1-e255-08bdc96e37dd,06299b1e-f2dd-35d1-e255-08bdc96e37dd,published_source_only,<gap> ṭup-pu-šu a-na 20 ḫa-am-ša-tim né-pu-uš ma-lá ša ma-aḫ-ri-ku-nu-ma <gap>,published_duplicate
published_source_only::0785386c-bea4-4fde-beef-bcb5dc63f220,0785386c-bea4-4fde-beef-bcb5dc63f220,published_source_only,1 ma-na KÙ.BABBAR i-ṣé-er a-li-li ù kà-ar-ší-ni wa-al-dí-lúm ù IŠTAR-lá-ma-sí i-šu-ú a-na ša tù-ùḫ-tù-ḫa-nim 1.5 ma-na KÙ.BABBAR ù 2 UDU.ḪI.A i-du-nu IGI bé-li-kà-ù bé-el-tí-kà IGI wa-al-dí-lim ù kà-ar-ni-kà-šu,published_duplicate
published_source_only::088d9eb0-06e6-4d59-94d1-b1546b8a3d7e,088d9eb0-06e6-4d59-94d1-b1546b8a3d7e,published_source_only,um-ma i-lu-a-ma a-na sú-e-a qí-bi-ma 49 TÚG.ḪI.A ša a-šùr-i-mì-tí 1 TÚG ša bu-ur-sú-in 1 TÚG ša la-qé-ep 1 TÚG ša i-ku-pí-a ŠU.NÍGIN 52 TÚG.ḪI.A qá-dum ša ta-ad-mì-qá-tim ù 2 ANŠE ù ú-nu-sú-nu a-na zu-ba ap-qí-id-ma a-ṣé-er ḫu-ra-ṣa-nim i-ra-dí a-ma-kam a-ta ù i-na-sú-in ki-ma ni-a-tí i-ša-ḫa-at zu-ba i-zi-za-ma TÚG.ḪI.A a-na ḫu-ra-ṣa-nim pì-iq-da pá-zu-ur-tám ša-bu ku-nu-ki ša sí-sí-kà-tim pì-iq-da a-šu-mì 2 TÚG ša ḫa-al-qú-ni a-na šu-IŠTAR ù e-lá-li lá kà-áš-du,published_duplicate
published_source_only::098ec47b-09c0-49ad-9ba3-d8500ec2cae5,098ec47b-09c0-49ad-9ba3-d8500ec2cae5,published_source_only,na-áš-pè-er-tum ša a-šùr-ták-lá-ku DUMU ḫa-na-na a-na na-ki-le-a-ad na-áš-pè-er-tum ša na-ki-le-a-ad a-na a-šur-ták-lá-ku DUMU ḫa-na-na ṭup-pu-um ša DAM.GÀR ša i-na ḫu-ra-ma ḫa-ar-mu-ni ù ṭup-pu-ú ša a-na-aḫ-DINGIR,published_duplicate
published_source_only::09db3713-52b2-493d-8893-1e2347c24554,09db3713-52b2-493d-8893-1e2347c24554,published_source_only,ku-a-tí li-li-kam a-wa-sú lá-ag-mu-ur i qá-tí-im i-ri-tim lá a-lá-kam,published_duplicate
published_source_only::0a563c7c-797f-4ca6-b937-cd2be4d3465a,0a563c7c-797f-4ca6-b937-cd2be4d3465a,published_source_only,12 TÚG ra-qá-tim ù 0.5 ma-na 3 GÍN ḫu-sà-ra-am ša ni-ri-be a-ṣé-er ku-zi-zi-a šé-ep-IŠTAR ù ša-lim-wa-ar-dí a-na wa-aḫ-šu-ša-na ub-lu-ú 5 ma-na URUDU ší-kam a qá-tí-šu-nu a-dí-in IGI šu-bé-lim DUMU ku-zi-zi-a IGI ki-zi-e DUMU lá-qé-ep,published_duplicate
